form	lemma	xpostag
megfelelően	megfelelő	[/Adj][_Manner/Adv]
elvezesse	elvezet	[/V][Sbjv.Def.3Sg]
a	a	[/Det|Art.Def]
vevőt	vevő	[/N][Acc]
a	a	[/Det|Art.Def]
gázolaj	gázolaj	[/N][Nom]
rejtekhelyére	rejtekhely	[/N][Poss.3Sg][Subl]
.	.	[Punct]
#  ref: doc#1097
#  left_length: 29
#  kwic_length: 1
#  right_length: 6
#  sent: Az utasok egyébként Kocsi Margit tájékoztatása szerint türelemmel viselik a jegyek átírását , a várakozást , igaz , a Malév-dolgozók komoly erőfeszítéseket tesznek , hogy a körülményekhez képest a repülni akarók  jól érezzék magukat .
Az	az	[/Det|Art.Def]
utasok	utas	[/N][Pl][Nom]
egyébként	egyébként	[/Adv]
Kocsi	kocsi	[/Adj][Nom]
Margit	Margit	[/N][Nom]
tájékoztatása	tájékoztatás	[/N][Poss.3Sg][Nom]
szerint	szerint	[/Post]
türelemmel	türelem	[/N][Ins]
viselik	visel	[/V][Prs.Def.3Pl]
a	a	[/Det|Art.Def]
jegyek	jegy	[/N][Pl][Nom]
átírását	átírás	[/N][Poss.3Sg][Acc]
,	,	[Punct]
a	a	[/Det|Art.Def]
várakozást	várakozás	[/N][Acc]
,	,	[Punct]
igaz	igaz	[/Adj][Nom]
,	,	[Punct]
a	a	[/Det|Art.Def]
Malév-dolgozók	Malév-dolgozó	[/N][Pl][Nom]
komoly	komoly	[/Adj][Nom]
erőfeszítéseket	erőfeszítés	[/N][Pl][Acc]
tesznek	tesz	[/V][Prs.NDef.3Pl]
,	,	[Punct]
hogy	hogy	[/Cnj]
a	a	[/Det|Art.Def]
körülményekhez	körülmény	[/N][Pl][All]
képest	képest	[/Post|(All)]
a	a	[/Det|Art.Def]
repülni	repül	[/V][Inf]
akarók	akaró	[/Adj][Pl][Nom]
jól	jó	[/Adj][_Manner/Adv]
érezzék	érez	[/V][Sbjv.Def.3Pl]
magukat	maga	[/N|Pro][3Pl][Acc]
.	.	[Punct]
#  ref: doc#1098
#  left_length: 19
#  kwic_length: 1
#  right_length: 8
#  sent: Várhegyi Éva szerint a kormánynak akkor fűződhet érdeke a Postabank állami tulajdonban tartásához , ha valamit el  akarna titkolni a pénzintézetnél az utóbbi három évben történtekből .
Várhegyi	várhegyi	[/Adj][Nom]
Éva	Éva	[/N][Nom]
szerint	szerint	[/Post]
a	a	[/Det|Art.Def]
kormánynak	kormány	[/N][Dat]
akkor	akkor	[/Adv|Pro]
fűződhet	fűződik	[/V][_Mod/V][Prs.NDef.3Sg]
érdeke	érdek	[/N][Poss.3Sg][Nom]
a	a	[/Det|Art.Def]
Postabank	Postabank	[/N][Nom]
állami	állami	[/Adj][Nom]
tulajdonban	tulajdon	[/N][Ine]
tartásához	tartás	[/N][Poss.3Sg][All]
,	,	[Punct]
ha	ha	[/Cnj]
valamit	valami	[/N|Pro][Acc]
el	el	[/Prev]
akarna	akar	[/V][Cond.NDef.3Sg]
titkolni	titkol	[/V][Inf]
a	a	[/Det|Art.Def]
pénzintézetnél	pénzintézet	[/N][Ade]
az	az	[/Det|Art.Def]
utóbbi	utóbbi	[/Adj][Nom]
három	három	[/Num][Nom]
évben	év	[/N][Ine]
történtekből	történt	[/Adj][Pl][Ela]
.	.	[Punct]
#  ref: doc#1099
#  left_length: 12
#  kwic_length: 1
#  right_length: 7
#  sent: A gyermekújság elleni támadással az olasz fasiszta párt utódszervezete így  akarta megvédeni a " tiszta olaszság " szellemét .
A	a	[/Det|Art.Def]
gyermekújság	gyermekújság	[/N][Nom]
elleni	elleni	[/Adj][Nom]
támadással	támadás	[/N][Ins]
az	az	[/Det|Art.Def]
olasz	olasz	[/Adj][Nom]
fasiszta	fasiszta	[/N][Nom]
párt	párt	[/N][Nom]
utódszervezete	utódszervezet	[/N][Poss.3Sg][Nom]
így	így	[/Adv|Pro]
akarta	akar	[/V][Pst.Def.3Sg]
megvédeni	megvéd	[/V][Inf]
a	a	[/Det|Art.Def]
"	"	[Punct]
tiszta	tiszta	[/Adj][Nom]
olaszság	olaszság	[/N][Nom]
"	"	[Punct]
szellemét	szellem	[/N][Poss.3Sg][Acc]
.	.	[Punct]
#  ref: doc#1100
#  left_length: 10
#  kwic_length: 1
#  right_length: 9
#  sent: Egyrészt azt hiszem : senki sem  akar  ujjal mutogatni Oroszországra , mondván , hogy aggodalmat kelt bennünk .
Egyrészt	egyrészt	[/Adv]
azt	az	[/Det|Pro][Acc]
hiszem	hisz	[/V][Prs.Def.1Sg]
:	:	[Punct]
senki	senki	[/N|Pro][Nom]
sem	sem	[/Adv]
akar	akar	[/V][Prs.NDef.3Sg]
ujjal	ujj	[/N][Ins]
mutogatni	mutogat	[/V][Inf]
Oroszországra	Oroszország	[/N][Subl]
,	,	[Punct]
mondván	mondván	[/Adv]
,	,	[Punct]
hogy	hogy	[/Cnj]
aggodalmat	aggodalom	[/N][Acc]
kelt	kel	[/V][Pst.NDef.3Sg]
bennünk	mi	[/N|Pro][Ine][1Pl]
.	.	[Punct]
#  ref: doc#1104
#  left_length: 39
#  kwic_length: 1
#  right_length: 6
#  sent: Most nem arról van szó , hogy mi az összmagyar , azt majd az értelmező szótár friss kiadása fogja tisztázni tíz-húsz év múlva , hanem az a kedvesen noszogató riporteri igyekezet , amellyel a riporter néni összmagyarrá  akart tenni valamit , ami nem az .
Most	most	[/Adv]
nem	nem	[/Adv]
arról	az	[/Det|Pro][Del]
van	van	[/V][Prs.NDef.3Sg]
szó	szó	[/N][Nom]
,	,	[Punct]
hogy	hogy	[/Cnj]
mi	mi	[/N|Pro|Int][Nom]
az	az	[/Det|Art.Def]
összmagyar	összmagyar	[/Adj][Nom]
,	,	[Punct]
azt	az	[/Det|Pro][Acc]
majd	majd	[/Adv]
az	az	[/Det|Art.Def]
értelmező	értelmező	[/Adj][Nom]
szótár	szótár	[/N][Nom]
friss	friss	[/Adj][Nom]
kiadása	kiadás	[/N][Poss.3Sg][Nom]
fogja	fog	[/V][Prs.Def.3Sg]
tisztázni	tisztáz	[/V][Inf]
tíz-húsz	tíz-húsz	[/Num][Nom]
év	év	[/N][Nom]
múlva	múlva	[/Post]
,	,	[Punct]
hanem	hanem	[/Cnj]
az	az	[/Det|Pro][Nom]
a	a	[/Det|Art.Def]
kedvesen	kedves	[/Adj][_Manner/Adv]
noszogató	noszogató	[/Adj][Nom]
riporteri	riporteri	[/Adj][Nom]
igyekezet	igyekezet	[/N][Nom]
,	,	[Punct]
amellyel	amely	[/N|Pro|Rel][Ins]
a	a	[/Det|Art.Def]
riporter	riporter	[/N][Nom]
néni	néni	[/N][Nom]
összmagyarrá	összmagyar	[/Adj][Transl]
akart	akar	[/V][Pst.NDef.3Sg]
tenni	tesz	[/V][Inf]
valamit	valami	[/N|Pro][Acc]
,	,	[Punct]
ami	ami	[/N|Pro|Rel][Nom]
nem	nem	[/Adv]
az	az	[/Det|Art.Def]
.	.	[Punct]
#  ref: doc#1110
#  left_length: 22
#  kwic_length: 1
#  right_length: 1
#  sent: James Cameron filmrendező , a Titanic alkotója bejelentette , hogy az amerikai milliomost , Denis Titót követve ő is űrturista  akar lenni .
James	James	[/N][Nom]
Cameron	Cameron	[/N][Nom]
filmrendező	filmrendező	[/N][Nom]
,	,	[Punct]
a	a	[/Det|Art.Def]
Titanic	Titanic	[/N][Nom]
alkotója	alkotó	[/N][Poss.3Sg][Nom]
bejelentette	bejelent	[/V][Pst.Def.3Sg]
,	,	[Punct]
hogy	hogy	[/Cnj]
az	az	[/Det|Art.Def]
amerikai	amerikai	[/Adj][Nom]
milliomost	milliomos	[/N][Acc]
,	,	[Punct]
Denis	Denis	[/N][Nom]
Titót	Tito	[/N][Acc]
követve	követ	[/V][_AdvPtcp/Adv]
ő	ő	[/N|Pro][3Sg][Nom]
is	is	[/Adv]
űrturista	űrturista	[/N][Nom]
akar	akar	[/V][Prs.NDef.3Sg]
lenni	lesz	[/V][Inf]
.	.	[Punct]
#  ref: doc#1111
#  left_length: 22
#  kwic_length: 1
#  right_length: 3
#  sent: A várakozásokkal ellentétben Stipe Mesic államfő nem vett részt a kormányülésen , mert - mint mondta - nem  akart  nyomást gyakorolni a kabinetre .
A	a	[/Det|Art.Def]
várakozásokkal	várakozás	[/N][Pl][Ins]
ellentétben	ellentétben	[/Post|(Ins)]
Stipe	Stipe	[/N]
Mesic	Mesic	[/N]
államfő	államfő	[/N][Nom]
nem	nem	[/Adv]
vett	vesz	[/V][Pst.NDef.3Sg]
részt	rész	[/N][Acc]
a	a	[/Det|Art.Def]
kormányülésen	kormányülés	[/N][Supe]
,	,	[Punct]
mert	mert	[/Cnj]
-	-	[Punct]
mint	mint	[/Cnj]
mondta	mond	[/V][Pst.Def.3Sg]
-	-	[Punct]
nem	nem	[/Adv]
akart	akar	[/V][Pst.NDef.3Sg]
nyomást	nyomás	[/N][Acc]
gyakorolni	gyakorol	[/V][Inf]
a	a	[/Det|Art.Def]
kabinetre	kabinet	[/N][Subl]
.	.	[Punct]
#  ref: doc#1121
#  left_length: 47
#  kwic_length: 1
#  right_length: 1
#  sent: És közrejátszik ebben egy francia sajátosság , ezt az El Pais című spanyol lap így jellemezte : " A franciáknak megvan az a rossz szokásuk , hogy az urnákat az éppen aktuális kormány elleni tiltakozásra használják fel " , most éppen Chirac és kormánya ellen  akarnak tiltakozni .
És	és	[/Cnj]
közrejátszik	közrejátszik	[/V][Prs.NDef.3Sg]
ebben	ez	[/Det|Pro][Ine]
egy	egy	[/Det|Art.NDef]
francia	francia	[/Adj][Nom]
sajátosság	sajátosság	[/N][Nom]
,	,	[Punct]
ezt	ez	[/Det|Pro][Acc]
az	az	[/Det|Art.Def]
El	el	[/Prev]
Pais	Pais	[/N][Nom]
című	című	[/Adj][Nom]
spanyol	spanyol	[/Adj][Nom]
lap	lap	[/N][Nom]
így	így	[/Adv|Pro]
jellemezte	jellemez	[/V][Pst.Def.3Sg]
:	:	[Punct]
"	"	[Punct]
A	a	[/Det|Art.Def]
franciáknak	francia	[/Adj][Pl][Dat]
megvan	megvan	[/V][Prs.NDef.3Sg]
az	az	[/Det|Pro][Nom]
a	a	[/Det|Art.Def]
rossz	rossz	[/Adj][Nom]
szokásuk	szokás	[/N][Poss.3Pl][Nom]
,	,	[Punct]
hogy	hogy	[/Cnj]
az	az	[/Det|Art.Def]
urnákat	urna	[/N][Pl][Acc]
az	az	[/Det|Art.Def]
éppen	éppen	[/Adv]
aktuális	aktuális	[/Adj][Nom]
kormány	kormány	[/N][Nom]
elleni	elleni	[/Adj][Nom]
tiltakozásra	tiltakozás	[/N][Subl]
használják	használ	[/V][Prs.Def.3Pl]
fel	fel	[/Prev]
"	"	[Punct]
,	,	[Punct]
most	most	[/Adv]
éppen	éppen	[/Adv]
Chirac	Chirac	[/N][Nom]
és	és	[/Cnj]
kormánya	kormány	[/N][Poss.3Sg][Nom]
ellen	ellen	[/Post]
akarnak	akar	[/V][Prs.NDef.3Pl]
tiltakozni	tiltakozik	[/V][Inf]
.	.	[Punct]
#  ref: doc#1319
#  left_length: 14
#  kwic_length: 1
#  right_length: 3
#  sent: Hogy nincs bőség , csak akkor derül ki , amikor az ember valamit konkrétan venni akar  .
Hogy	hogy	[/Cnj]
nincs	nincs	[/V][Prs.NDef.3Sg]
bőség	bőség	[/N][Nom]
,	,	[Punct]
csak	csak	[/Adv]
akkor	akkor	[/Adv|Pro]
derül	derül	[/V][Prs.NDef.3Sg]
ki	ki	[/Prev]
,	,	[Punct]
amikor	amikor	[/Adv|Pro|Rel]
az	az	[/Det|Art.Def]
ember	ember	[/N][Nom]
valamit	valami	[/N|Pro][Acc]
konkrétan	konkrét	[/Adj][_Manner/Adv]
venni	vesz	[/V][Inf]
akar	akar	[/V][Prs.NDef.3Sg]
.	.	[Punct]
#  ref: doc#1328
#  left_length: 5
#  kwic_length: 1
#  right_length: 8
#  sent: - Semmit sem  akarok mondani , asszonyom , én itt élek Magyarországon ...
-	-	[Punct]
Semmit	semmi	[/N|Pro][Acc]
sem	sem	[/Adv]
akarok	akar	[/V][Prs.NDef.1Sg]
mondani	mond	[/V][Inf]
,	,	[Punct]
asszonyom	asszony	[/N][Poss.1Sg][Nom]
,	,	[Punct]
én	én	[/N|Pro][1Sg][Nom]
itt	itt	[/Adv|Pro]
élek	él	[/V][Prs.NDef.1Sg]
Magyarországon	Magyarország	[/N][Supe]
...	...	[Punct]
#  ref: doc#1367
#  left_length: 4
#  kwic_length: 1
#  right_length: 17
#  sent: Ezzel azt  akarta mondani , hogy azok a számok , amik a statisztikájában szerepelnek , nem az olvasók számát jelentik .
Ezzel	ez	[/Det|Pro][Ins]
azt	az	[/Det|Pro][Acc]
akarta	akar	[/V][Pst.Def.3Sg]
mondani	mond	[/V][Inf]
,	,	[Punct]
hogy	hogy	[/Cnj]
azok	az	[/Det|Pro][Pl][Nom]
a	a	[/Det|Art.Def]
számok	szám	[/N][Pl][Nom]
,	,	[Punct]
amik	ami	[/N|Pro|Rel][Pl][Nom]
a	a	[/Det|Art.Def]
statisztikájában	statisztika	[/N][Poss.3Sg][Ine]
szerepelnek	szerepel	[/V][Prs.NDef.3Pl]
,	,	[Punct]
nem	nem	[/Adv]
az	az	[/Det|Art.Def]
olvasók	olvasó	[/N][Pl][Nom]
számát	szám	[/N][Poss.3Sg][Acc]
jelentik	jelent	[/V][Prs.Def.3Pl]
.	.	[Punct]
#  ref: doc#1406
#  left_length: 12
#  kwic_length: 1
#  right_length: 3
#  sent: Nem olyan akarok lenni , mint ő , hanem úgy  akarok lenni : ÉN .
Nem	nem	[/Adv]
olyan	olyan	[/Adj|Pro][Nom]
akarok	akar	[/V][Prs.NDef.1Sg]
lenni	lesz	[/V][Inf]
,	,	[Punct]
mint	mint	[/Cnj]
ő	ő	[/N|Pro][3Sg][Nom]
,	,	[Punct]
hanem	hanem	[/Cnj]
úgy	úgy	[/Adv|Pro]
akarok	akar	[/V][Prs.NDef.1Sg]
lenni	lesz	[/V][Inf]
:	:	[Punct]
ÉN	én	[/N][Nom]
.	.	[Punct]
#  ref: doc#1443
#  left_length: 10
#  kwic_length: 1
#  right_length: 25
#  sent: Biztosra vette , hogy Kossuth végre egyértelműen rá  akarja bízni a fővezérséget , hiszen a kormányzónak nincs már más választása : Bemet megverték Segesvárnál , Haynau előretört Szegednél , a kormánynak Aradra kellett menekülnie .
Biztosra	biztos	[/Adj][Subl]
vette	vesz	[/V][Pst.Def.3Sg]
,	,	[Punct]
hogy	hogy	[/Cnj]
Kossuth	Kossuth	[/N][Nom]
végre	végre	[/Adv]
egyértelműen	egyértelmű	[/Adj][_Manner/Adv]
rá	rá	[/Prev]
akarja	akar	[/V][Prs.Def.3Sg]
bízni	bíz	[/V][Inf]
a	a	[/Det|Art.Def]
fővezérséget	fővezérség	[/N][Acc]
,	,	[Punct]
hiszen	hiszen	[/Cnj]
a	a	[/Det|Art.Def]
kormányzónak	kormányzó	[/N][Dat]
nincs	nincs	[/V][Prs.NDef.3Sg]
már	már	[/Adv]
más	más	[/N|Pro][Nom]
választása	választás	[/N][Poss.3Sg][Nom]
:	:	[Punct]
Bemet	Bem	[/N][Acc]
megverték	megver	[/V][Pst.Def.3Pl]
Segesvárnál	Segesvár	[/N][Ade]
,	,	[Punct]
Haynau	Haynau	[/N][Nom]
előretört	előretört	[/Adj][Nom]
Szegednél	Szeged	[/N][Ade]
,	,	[Punct]
a	a	[/Det|Art.Def]
kormánynak	kormány	[/N][Dat]
Aradra	Arad	[/N][Subl]
kellett	kell	[/V][Pst.NDef.3Sg]
menekülnie	menekül	[/V][Inf.3Sg]
.	.	[Punct]
#  ref: doc#1449
#  left_length: 10
#  kwic_length: 1
#  right_length: 9
#  sent: De nem nyugodott meg , Esztergomba érve agyon  akarta lőni magát , inasa csavarta ki kezéből a fegyvert .
De	de	[/Cnj]
nem	nem	[/Adv]
nyugodott	nyugszik	[/V][Pst.NDef.3Sg]
meg	meg	[/Prev]
,	,	[Punct]
Esztergomba	Esztergom	[/N][Ill]
érve	ér	[/V][_AdvPtcp/Adv]
agyon	agyon	[/Prev]
akarta	akar	[/V][Pst.Def.3Sg]
lőni	lő	[/V][Inf]
magát	maga	[/N|Pro][3Sg][Acc]
,	,	[Punct]
inasa	inas	[/N][Poss.3Sg][Nom]
csavarta	csavar	[/V][Pst.Def.3Sg]
ki	ki	[/Prev]
kezéből	kéz	[/N][Poss.3Sg][Ela]
a	a	[/Det|Art.Def]
fegyvert	fegyver	[/N][Acc]
.	.	[Punct]
#  ref: doc#1449
#  left_length: 3
#  kwic_length: 1
#  right_length: 10
#  sent: Miért  akar zabálni egy gyomor , amely már becsületesen emészteni sem tud ?
Miért	miért	[/Adv|Pro|Int]
akar	akar	[/V][Prs.NDef.3Sg]
zabálni	zabál	[/V][Inf]
egy	egy	[/Det|Art.NDef]
gyomor	gyomor	[/N][Nom]
,	,	[Punct]
amely	amely	[/N|Pro|Rel][Nom]
már	már	[/Adv]
becsületesen	becsületes	[/Adj][_Manner/Adv]
emészteni	emészt	[/V][Inf]
sem	sem	[/Adv]
tud	tud	[/V][Prs.NDef.3Sg]
?	?	[Punct]
#  ref: doc#1459
#  left_length: 19
#  kwic_length: 1
#  right_length: 10
#  sent: S úgy volt , hogy épp ezeket nagyon megkergették egyszer a szomszédok , mert meg  akarták  volna szerezni maguknak minden erejükkel , s különösképpen az egyik nagy-ravasz .
S	s	[/Cnj]
úgy	úgy	[/Adv|Pro]
volt	van	[/V][Pst.NDef.3Sg]
,	,	[Punct]
hogy	hogy	[/Cnj]
épp	épp	[/Adv]
ezeket	ez	[/Det|Pro][Pl][Acc]
nagyon	nagyon	[/Adv]
megkergették	megkerget	[/V][Pst.Def.3Pl]
egyszer	egy	[/Num][_Mlt-Iter/Adv]
a	a	[/Det|Art.Def]
szomszédok	szomszéd	[/N][Pl][Nom]
,	,	[Punct]
mert	mert	[/Cnj]
meg	meg	[/Prev]
akarták	akar	[/V][Pst.Def.3Pl]
volna	volna	[/V]
szerezni	szerez	[/V][Inf]
maguknak	maga	[/N|Pro][3Pl][Dat]
minden	minden	[/N|Pro][Nom]
erejükkel	erő	[/N][Poss.3Pl][Ins]
,	,	[Punct]
s	s	[/Cnj]
különösképpen	különösképpen	[/Adv]
az	az	[/Det|Art.Def]
egyik	egyik	[/Adj|Pro][Nom]
nagy-ravasz	nagy-ravasz	[/N][Nom]
.	.	[Punct]
#  ref: doc#1461
#  left_length: 13
#  kwic_length: 1
#  right_length: 4
#  sent: Spárgát keresett szegény T. A. , hogy felkösse magát : meg  akarta alázni szegény kis életét .
Spárgát	spárga	[/N][Acc]
keresett	keres	[/V][Pst.NDef.3Sg]
szegény	szegény	[/N][Nom]
T.	T	[/N][Nom][Punct]
A.	a	[/N][Nom][Punct]
,	,	[Punct]
hogy	hogy	[/Cnj]
felkösse	felköt	[/V][Sbjv.Def.3Sg]
magát	maga	[/N|Pro][3Sg][Acc]
:	:	[Punct]
meg	meg	[/Cnj]
akarta	akar	[/V][Pst.Def.3Sg]
alázni	aláz	[/V][Inf]
szegény	szegény	[/Adj][Nom]
kis	kis	[/Adj|Attr][Nom]
életét	élet	[/N][Poss.3Sg][Acc]
.	.	[Punct]
#  ref: doc#1461
#  left_length: 16
#  kwic_length: 1
#  right_length: 13
#  sent: - A lélek még mindig abban a stádiumban volt : hogy nem  akart  részt venni e világ életében , - bele kellett ráncigálni ..... örömökkel kellett belecsábítani .
-	-	[Punct]
A	a	[/Det|Art.Def]
lélek	lélek	[/N][Nom]
még	még	[/Adv]
mindig	mindig	[/Adv]
abban	az	[/Det|Pro][Ine]
a	a	[/Det|Art.Def]
stádiumban	stádium	[/N][Ine]
volt	van	[/V][Pst.NDef.3Sg]
:	:	[Punct]
hogy	hogy	[/Cnj]
nem	nem	[/Adv]
akart	akar	[/V][Pst.NDef.3Sg]
részt	rész	[/N][Acc]
venni	vesz	[/V][Inf]
e	e	[/Det|Pro|def]
világ	világ	[/N][Nom]
életében	élet	[/N][Poss.3Sg][Ine]
,	,	[Punct]
-	-	[Punct]
bele	bele	[/Prev]
kellett	kell	[/V][Pst.NDef.3Sg]
ráncigálni	ráncigál	[/V][Inf]
.....	.....	[Punct]
örömökkel	öröm	[/N][Pl][Ins]
kellett	kell	[/V][Pst.NDef.3Sg]
belecsábítani	belecsábít	[/V][Inf]
.	.	[Punct]
#  ref: doc#1462
#  left_length: 8
#  kwic_length: 1
#  right_length: 8
#  sent: Az operatőr dühös , azt sem  akarja engedni , hogy letöröljem a verejtéket az arcomról .
Az	az	[/Det|Art.Def]
operatőr	operatőr	[/N][Nom]
dühös	dühös	[/Adj][Nom]
,	,	[Punct]
azt	az	[/Det|Pro][Acc]
sem	sem	[/Adv]
akarja	akar	[/V][Prs.Def.3Sg]
engedni	enged	[/V][Inf]
,	,	[Punct]
hogy	hogy	[/Cnj]
letöröljem	letöröl	[/V][Sbjv.Def.1Sg]
a	a	[/Det|Art.Def]
verejtéket	verejték	[/N][Acc]
az	az	[/Det|Art.Def]
arcomról	arc	[/N][Poss.1Sg][Del]
.	.	[Punct]
#  ref: doc#1495
#  left_length: 7
#  kwic_length: 1
#  right_length: 4
#  sent: - Elmentem , mert nem  akartam várni Killer doktor úrra .
-	-	[Punct]
Elmentem	elmegy	[/V][Pst.NDef.1Sg]
,	,	[Punct]
mert	mert	[/Cnj]
nem	nem	[/Adv]
akartam	akar	[/V][Pst.NDef.1Sg]
várni	vár	[/V][Inf]
Killer	Killer	[/N][Nom]
doktor	doktor	[/N][Nom]
úrra	úr	[/N][Subl]
.	.	[Punct]
#  ref: doc#1506
#  left_length: 7
#  kwic_length: 1
#  right_length: 8
#  sent: - De én nem rendőrkém  akarok lenni , hanem koca-kém ; s ez más .
-	-	[Punct]
De	de	[/Cnj]
én	én	[/N|Pro][1Sg][Nom]
nem	nem	[/Adv]
rendőrkém	rendőrkém	[/N][Nom]
akarok	akar	[/V][Prs.NDef.1Sg]
lenni	lesz	[/V][Inf]
,	,	[Punct]
hanem	hanem	[/Cnj]
koca-kém	koca-kém	[/N][Nom]
;	;	[Punct]
s	s	[/Cnj]
ez	ez	[/Det|Pro][Nom]
más	más	[/N|Pro][Nom]
.	.	[Punct]
#  ref: doc#1532
#  left_length: 4
#  kwic_length: 1
#  right_length: 9
#  sent: Azért is  akartam kimenni , hadd lássák , megelőzheti őket egy magyar .
Azért	azért	[/Adv|Pro]
is	is	[/Adv]
akartam	akar	[/V][Pst.NDef.1Sg]
kimenni	kimegy	[/V][Inf]
,	,	[Punct]
hadd	hadd	[/Adv]
lássák	lát	[/V][Sbjv.Def.3Pl]
,	,	[Punct]
megelőzheti	megelőz	[/V][_Mod/V][Prs.Def.3Sg]
őket	ők	[/N|Pro][3Pl][Acc]
egy	egy	[/Det|Art.NDef]
magyar	magyar	[/Adj][Nom]
.	.	[Punct]
#  ref: doc#1555
#  left_length: 3
#  kwic_length: 1
#  right_length: 1
#  sent: Ki  akartok vándorolni ?
Ki	ki	[/Prev]
akartok	akar	[/V][Prs.NDef.2Pl]
vándorolni	vándorol	[/V][Inf]
?	?	[Punct]
#  ref: doc#1618
#  left_length: 36
#  kwic_length: 1
#  right_length: 7
#  sent: A kérdés az volt , hogy akarnak -e , tudnak -e megbízható államot csinálni , olyat , amelyik állja a szavát , megtartja a szerződéseket , vagy csak olyat , amely országépítés helyett orvul mégis inkább gyilkolni akar  , más szóval beszámíthatatlan .
A	a	[/Det|Art.Def]
kérdés	kérdés	[/N][Nom]
az	az	[/Det|Pro][Nom]
volt	van	[/V][Pst.NDef.3Sg]
,	,	[Punct]
hogy	hogy	[/Cnj]
akarnak	akar	[/V][Prs.NDef.3Pl]
-e	-e	[/QPtcl]
,	,	[Punct]
tudnak	tud	[/V][Prs.NDef.3Pl]
-e	-e	[/QPtcl]
megbízható	megbízható	[/Adj][Nom]
államot	állam	[/N][Acc]
csinálni	csinál	[/V][Inf]
,	,	[Punct]
olyat	olyan	[/Adj|Pro][Acc]
,	,	[Punct]
amelyik	amelyik	[/N|Pro|Rel][Nom]
állja	áll	[/V][Prs.Def.3Sg]
a	a	[/Det|Art.Def]
szavát	szó	[/N][Poss.3Sg][Acc]
,	,	[Punct]
megtartja	megtart	[/V][Prs.Def.3Sg]
a	a	[/Det|Art.Def]
szerződéseket	szerződés	[/N][Pl][Acc]
,	,	[Punct]
vagy	vagy	[/Cnj]
csak	csak	[/Adv]
olyat	olyan	[/Adj|Pro][Acc]
,	,	[Punct]
amely	amely	[/N|Pro|Rel][Nom]
országépítés	országépítés	[/N][Nom]
helyett	helyett	[/Post]
orvul	orvul	[/Adv]
mégis	mégis	[/Adv]
inkább	inkább	[/Adv]
gyilkolni	gyilkol	[/V][Inf]
akar	akar	[/V][Prs.NDef.3Sg]
,	,	[Punct]
más	más	[/N|Pro][Nom]
szóval	szó	[/N][Ins]
beszámíthatatlan	beszámíthatatlan	[/Adj][Nom]
.	.	[Punct]
#  ref: doc#1699
#  left_length: 4
#  kwic_length: 1
#  right_length: 22
#  sent: - Azt  akarod mondani , hogy a. .. hogy a pomogácsok - dadogta , s annyira belekeveredett a dadogásba , hogy Ló Szerafin segítette ki :
-	-	[Punct]
Azt	az	[/Det|Pro][Acc]
akarod	akar	[/V][Prs.Def.2Sg]
mondani	mond	[/V][Inf]
,	,	[Punct]
hogy	hogy	[/Cnj]
a.	a	[/N][Nom][Punct]
..	..	[Punct]
hogy	hogy	[/Cnj]
a	a	[/Det|Art.Def]
pomogácsok	pomogácso	[/N][Pl][Nom]
-	-	[Punct]
dadogta	dadog	[/V][Pst.Def.3Sg]
,	,	[Punct]
s	s	[/Cnj]
annyira	annyira	[/Adv|Pro]
belekeveredett	belekeveredik	[/V][Pst.NDef.3Sg]
a	a	[/Det|Art.Def]
dadogásba	dadogás	[/N][Ill]
,	,	[Punct]
hogy	hogy	[/Cnj]
Ló	ló	[/N][Nom]
Szerafin	Szerafin	[/N][Nom]
segítette	segít	[/V][Pst.Def.3Sg]
ki	ki	[/Prev]
:	:	[Punct]
#  ref: doc#1721
#  left_length: 1
#  kwic_length: 1
#  right_length: 3
#  sent: Mintha integetni akarnának  .
Mintha	mintha	[/Cnj]
integetni	integet	[/V][Inf]
akarnának	akar	[/V][Cond.NDef.3Pl]
.	.	[Punct]
#  ref: doc#1726
#  left_length: 5
#  kwic_length: 1
#  right_length: 3
#  sent: Azt hitte , hogy apád molesztálni akar  .
Azt	az	[/Det|Pro][Acc]
hitte	hisz	[/V][Pst.Def.3Sg]
,	,	[Punct]
hogy	hogy	[/Cnj]
apád	apa	[/N][Poss.2Sg][Nom]
molesztálni	molesztál	[/V][Inf]
akar	akar	[/V][Prs.NDef.3Sg]
.	.	[Punct]
#  ref: doc#1726
#  left_length: 4
#  kwic_length: 1
#  right_length: 1
#  sent: Te melyikre  akarsz ülni ?
Te	te	[/N|Pro][2Sg][Nom]
melyikre	amelyik	[/N|Pro|Rel][Subl]
akarsz	akar	[/V][Prs.NDef.2Sg]
ülni	ül	[/V][Inf]
?	?	[Punct]
#  ref: doc#1775
#  left_length: 18
#  kwic_length: 1
#  right_length: 22
#  sent: Ami engem illet , nem vettem komolyan a bejelentést , nem is értettem , hogy mit  akar elérni vele - ezért döbbentem meg , mikor tíz perccel később a folyosón összetalálkoztam a nyomozóval , idegesen sietett jelenteni a parancsnokának :
Ami	ami	[/N|Pro|Rel][Nom]
engem	én	[/N|Pro][1Sg][Acc]
illet	illet	[/V][Prs.NDef.3Sg]
,	,	[Punct]
nem	nem	[/Adv]
vettem	vesz	[/V][Pst.Def.1Sg]
komolyan	komoly	[/Adj][_Manner/Adv]
a	a	[/Det|Art.Def]
bejelentést	bejelentés	[/N][Acc]
,	,	[Punct]
nem	nem	[/Adv]
