# Frequency list

# Corpus: MNSZ2
# Query:  word,(meet [lemma="hajlamos"] [msd="(IK\.)*IGE\.INF[123]?\*?"] -2 2) 4400

# Frequency limit: 0


word	Freq	
-------------------------------------------------------
hajlamosak	1762	
hajlamos	1614	
Hajlamos	702	
Hajlamosak	155	
hajlamosabbak	106	
hajlamosabb	48	
hajlamossá	6	
HAJLAMOS	3	
Hajlamosabb	2	
hajlamosakká	1	
Hajlamosabbak	1	

