nem bír megáll , megszólal
nem bír szabadul a szag
alig bír utolér
alig bír utolér
nehéz bír elképzel , hogy
de még eltávolodik sem bír
bír tõl megválik , s
bír mindmáig megemészt
bír könnyedén kilép , és
túl bír lép kudarc ,
sem bír megemészt
társadalom bír kinõ
sem bír megtart
nem bír elképzel tiszteletreméltó kezdeményezés
úr bír lesz bátorság is
, bír él az gõg
nem bír eldönt , gyûlölt
sem bír képzel a nyár
sem bír lát , néha
nem bír képzel , hogy
bír ő nyúl
bír lehelethalkan kinyög
nem bír fölfog , hogy
is bír használ , fölteker
sem bír néz az ebéd
alig bír követ
java bír fordít
megáld bír létezik , lavíroz
nem bír ellenáll a kísértés
bír mi kezd ők
is bír szabadul a mámor
nem bír besüt egy tisztás
élet bír hív , és
menekül elõle egészen
bír mi kezd , a
nem bír ellenáll
így bír kommunikál
nem bír szabadul illúzió ,
nem bír él
bír mi kezd , mint
is bír elképzel , miféle
alig bír beszél
nem bír megáll , s
nem bír lát -mond sírós
bír ő felfedez
nem bír hozzányúl
bír többet eszik
nem bír megmozdul
nem bír megáll
nem bír feláll
bír ennyire szalad , és
nem bír moccan
nem bír begombolkozik
nem bír szabadul a krétaszag
alig bír utolér
bír õk utolér
nem bír elvon tekintet az
nem bír szuszog - mond
nem bír szuszog
sem bír mukkan
nem bír lenyel
bír én mesél , hogyan
nem bír fölkel , mivelhogy
bír volna fizet ő a
bír volna beszél ő
nem bír elmegy sehova
nem bír elfelejt
bír három számol
bír maga összeszed
nagyon bír fegyelmez maga
is bír örül a hír
ki bír megy ő végig
sem bír mozdul
sem bír lenyel
volna , mozdul sem bír
nem bír lemond
nem bír hozzányúl
bír három számol
bír maga összeszed
nem bír begombolkozik
nem bír szabadul a krétaszag
nem bír elvon tekintet az
nem bír szuszog - mond
nem bír szuszog
szeretetrõl bír beszél
nem bír takar bosszúság
nem bír megfordul ő a
nem bír elereszt
mégsem bír eltakar , hogy
bír tovább
bír java tesz okos-szelíd fegyelmezés
bír -e áll még e
bír maga beigazít , s
nem bír elmúlik
bír még érez aki ily
bír arc fölismer
bír arc fölismer
mégsem bír eltakar , hogy
el bír hasal jó
bír ő jut éhség szomj
el bír visel
nem bír titkol
nem mihelyt szól bír miért
van nem lesz nem
se bír jut amikor õ
bír egyedül marad , pedig
nem bír megy mint mi
el bír hisz maga hogy
se bír lelök maga
a csontváz gyõzni sose bír
bír ő jut éhség szomj
el bír visel
bír -e áll a még
is bír fut
úgyse bír csinál más te
nem bír kihúz
hogy már moccan se bír
; sírás megszakad nem bír
