form
# corpus: MNSZ2
# hits: 370
# query: word,[msd="(IK\.)*IGE\.INF[123]?\*?"] 10934260 -2 2 1 [lemma="szándékozik" & msd="(IK\.)*IGE\.(_HAT\.)?[TI]?[MPF]?[et]?[123]?"] 9023 370 370
# ref: doc#100
# left_length: 5
# kwic_length: 1
# right_length: 8
# sent: Éjszakai szolgálat várt rá , pihenni nem szándékozott , inkább elszórakozott a fûnyírással .
Éjszakai
szolgálat
várt
rá
,
pihenni
nem
szándékozott
,
inkább
elszórakozott
a
fûnyírással
.

# ref: doc#190
# left_length: 26
# kwic_length: 1
# right_length: 2
# sent: A nõ egy idõ után nagy karimás kalapot vásárolt magának , selyem nadrágkosztümöket varratott , ezeket széles övvel viselte , bár állította , többet nem szándékszik visszatérni városra .
A
nõ
egy
idõ
után
nagy
karimás
kalapot
vásárolt
magának
,
selyem
nadrágkosztümöket
varratott
,
ezeket
széles
övvel
viselte
,
bár
állította
,
többet
nem
szándékszik
visszatérni
városra
.

# ref: doc#255
# left_length: 6
# kwic_length: 1
# right_length: 9
# sent: Nem adatokat és elméleteket szándékoztam fejükbe verni , hanem meg szerettem volna õket tanítani gondolkodni .
Nem
adatokat
és
elméleteket
szándékoztam
fejükbe
verni
,
hanem
meg
szerettem
volna
õket
tanítani
gondolkodni
.

# ref: doc#521
# left_length: 20
# kwic_length: 1
# right_length: 7
# sent: Panta Virág nem szívesen itta az édes kútvizet , s Zicska most különösen a kedvében akart járni : másnap szándékozott elkérni apjától a szekrényben õrzött katonai távcsövet .
Panta
Virág
nem
szívesen
itta
az
édes
kútvizet
,
s
Zicska
most
különösen
a
kedvében
akart
járni
:
másnap
szándékozott
elkérni
apjától
a
szekrényben
õrzött
katonai
távcsövet
.

# ref: doc#535
# left_length: 2
# kwic_length: 1
# right_length: 6
# sent: Itt szándékozott felépíteni a fonodát és a szövödét .
Itt
szándékozott
felépíteni
a
fonodát
és
a
szövödét
.

# ref: doc#568
# left_length: 7
# kwic_length: 1
# right_length: 25
# sent: Ha találmányát elkészítette , akkor haza szándékozik menni , és be akarja fejezni tanulmányait rendesen , amibõl egyúttal az is kiderül , hogy az anyját nem gyûlöli annyira , mint amennyire gyûlöli .
Ha
találmányát
elkészítette
,
akkor
haza
szándékozik
menni
,
és
be
akarja
fejezni
tanulmányait
rendesen
,
amibõl
egyúttal
az
is
kiderül
,
hogy
az
anyját
nem
gyûlöli
annyira
,
mint
amennyire
gyûlöli
.

# ref: doc#622
# left_length: 23
# kwic_length: 1
# right_length: 29
# sent: Erre visszhangzik a Purgatórium-fordítás bevezetõje is , mely szerint a " stil nuovo " -t õ is " stil nuovo " -val szándékozik visszaadni , ám ez a törekvés a századelõn néha szecessziós kísérõzenével jár : gyakori archaizálása , legalábbis ma így érezzük , nem annyira múlt századi örökség , mint stílromantika .
Erre
visszhangzik
a
Purgatórium-fordítás
bevezetõje
is
,
mely
szerint
a
"
stil
nuovo
"
-t
õ
is
"
stil
nuovo
"
-val
szándékozik
visszaadni
,
ám
ez
a
törekvés
a
századelõn
néha
szecessziós
kísérõzenével
jár
:
gyakori
archaizálása
,
legalábbis
ma
így
érezzük
,
nem
annyira
múlt
századi
örökség
,
mint
stílromantika
.

# ref: doc#683
# left_length: 69
# kwic_length: 1
# right_length: 16
